S2011500,S1021300,S1040300,S3310100,S3302700,S3322000,S1070124,S1070140,S1070218,SZ340100,SZ110300,SZ344100,SZ344000,SZ344200,SZ110700,SZ210800,SZ311200,SZ370100,SZ370200,SZ340200,SZ310700,SZ320500,SZ320600,SZ210900,SZ343500,SZ132900,SZ344310,SZ420300,SZ330100,SZ340400,SZ340500,SZ340600,SZ340800,SZ321200,SZ310800,SZ120800,SZ340900,SZ341000,SZ141200,SZ341300,SZ341200,SZ341500,SZ341100,SZ341700,SZ341800,SZ350600,SZ350800,SZ160430,SZ342000,SZ142600,SZ141500,SZ330700,SZ344330,SZ131900,SZ332000,SZ132100,SZ343000,SZ351200,SZ351300,SZ330960,SZ331000,SZ330900,SZ361600,SZ361200,SZ361900,SZ361500,SZ360100,SZ170112,SZ170113,SZ170114,SZ170115,SZ170122,SZ170211,SZ170215,SZ170221,SZ170222,SZ410600,SZ410400,SZ411300,SZ410900,SZ170111,S3311100
1,1,1,2,2,1,1,1,1,2,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,2,2,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1
1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1,1,2,3,1,1,2
2,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,2,2,3,1,1,1,1,2,3,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1
1,3,1,1,1,1,1,1,1,2,2,3,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,3,1,1,3,1,1,3,1,1,1
2,1,1,2,2,1,1,1,1,1,2,1,2,2,1,1,2,1,2,2,1,1,1,2,1,1,2,1,1,3,2,1,2,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1
1,1,1,1,1,2,1,1,2,3,2,1,1,1,1,1,2,3,3,2,1,2,2,1,2,2,3,1,2,2,2,1,1,1,2,1,2,2,1,2,3,2,1,2,1,1,2,1,1,2,1,2,1,1,1,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1
2,2,1,2,1,2,2,2,1,2,2,1,1,2,2,1,1,2,2,1,1,1,1,2,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,1,1,1,2,1,1,2,2,1,2,2,2,1,1,1,2,2,1,2
1,2,1,1,1,1,1,2,1,2,1,3,1,1,2,1,1,1,1,2,1,1,1,1,3,2,4,1,1,2,2,3,3,1,1,1,1,1,2,1,1,1,2,3,1,2,1,2,2,1,1,3,4,3,1,2,2,3,1,1,1,1,1,1,1,2,1,2,1,1,2,3,1,1,1,1,1,1,2,2,1,1
1,2,1,2,1,1,1,1,1,3,2,2,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,2,3,2,1,1,1,2,1,2,1,2,1,2,1,2,3,2,1,3,3,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,2,1,1,2,2,1,2
1,2,1,2,2,1,1,1,1,2,2,2,2,2,2,2,3,1,1,2,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,2,1,1,1,1,3,2,1,2,1,1,1,1,1,1,1,1,1,2,1,3,2,4,2,1,2,1,2,1,1,1
2,1,1,2,1,1,1,2,1,2,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,2,1
1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,3,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1
1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,1,2,1,1,1
3,1,1,3,1,2,2,2,1,2,2,1,1,1,2,2,2,2,2,2,1,1,2,1,3,1,1,2,2,1,2,1,2,1,1,1,1,1,2,2,1,1,1,2,2,2,3,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,1,1,2,1,1,1,1,2,2,2,2,1,1,1
1,1,1,2,1,1,2,1,1,2,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,3,4,1,3,1,1,2,1,2
2,2,1,4,1,3,2,1,1,1,1,3,1,3,2,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,2,1,1,3,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,2,1,3,3,1,1,3,1,1,2,2,1,1
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,2
2,2,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,2,1,1,1,1,1,1,3,2,1,1,1,2,1,2,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
3,1,1,2,1,2,2,1,1,2,2,1,1,1,1,2,2,2,2,2,1,1,2,1,2,1,1,1,1,2,1,1,2,1,1,1,2,2,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1
2,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,1,2,2,1,1,1,1,2,2,1,2,2,1,3,2,1,2,1,1,1,2,2,1,2,1,1,1,2,1,1,2,2,1,1,1,2,2,1,1,2,2,2,2,1,1,3,1,2,2,1,2,1,1,1,2,3,2,2,2,1,1,1,2,2,3,2
3,2,1,4,3,2,1,1,1,3,2,3,3,2,2,3,3,1,2,3,3,3,2,1,3,2,1,2,3,3,3,1,2,2,3,3,3,2,1,2,1,1,1,2,1,1,3,1,1,1,1,2,1,1,1,3,3,1,1,1,1,4,1,2,1,2,2,1,1,1,1,2,1,1,3,1,2,1,1,1,3,1
3,2,1,3,2,2,2,1,1,3,2,2,1,1,1,1,2,1,1,2,1,1,2,1,3,1,1,2,1,3,3,2,2,2,1,1,2,2,1,3,1,1,2,2,1,2,3,1,1,2,1,2,2,1,2,2,3,1,1,2,1,2,2,1,1,1,1,2,1,1,2,1,2,2,2,1,1,1,2,1,1,1
2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,1,2,1,1,2
2,2,1,1,1,3,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,3,1,1,2,3,1,1,1,1,1,1,1,3,1,4,1,4,1,1,1,1,1,1,1,1,1,2,1,3,4,1,1,1,1,2,1,1,2,1,1,2,3,1,1,1,1,1,1,2,2,1,1,2,1,2,1,1,1,1,1,2,3,1,2,1,1,1
2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,3,1,1,1,2,2,2,1,1,1,1,1,2,1,2,2,1,2,1,1,1
2,2,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,2,1,1,2
2,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,1,1,2,3,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2
3,1,1,2,3,2,1,1,1,4,3,3,3,3,3,3,3,4,2,3,1,1,3,1,1,1,2,1,2,2,2,3,1,2,1,2,2,4,1,1,3,3,3,3,1,4,2,1,3,4,1,1,2,1,3,2,3,1,1,4,1,1,2,1,1,3,2,3,3,1,1,3,3,1,1,2,2,1,1,2,1,3
1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,2,2,1,1,3,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,2,1,2,2,2,1,1,1
2,1,1,4,2,1,1,1,1,2,1,2,1,2,2,3,1,1,2,1,1,1,1,1,2,2,1,1,1,3,1,1,1,1,1,2,1,2,2,1,1,2,1,1,1,3,3,2,1,1,1,1,3,1,1,2,3,1,1,3,1,1,2,1,2,2,1,2,1,1,1,2,1,1,2,1,1,2,2,1,1,1
2,1,1,3,2,1,1,1,1,1,1,4,1,1,3,1,1,1,1,3,1,3,3,2,1,2,2,1,2,2,1,1,1,3,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,4,1,2,3,1,1,1,2,1,3,2,1,1,2,1,2,1,2,1,1,2,2,1,2,2,1,1,1,1,1
2,1,1,1,1,1,1,1,2,2,2,3,1,2,3,3,1,1,3,2,1,2,1,1,1,1,1,1,1,2,2,1,1,2,3,1,1,2,2,2,2,3,3,1,1,2,1,1,1,1,1,2,3,1,1,1,1,1,1,2,1,2,1,2,2,2,3,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1
1,3,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,1,2,2,1,2,1,1,1,1,2,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,2,2,1,1,2,1,1
1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1
2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,2,1
1,1,1,1,3,1,1,1,1,2,1,1,2,1,3,4,3,3,3,3,3,3,3,2,2,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,2,1,3,1,1,2,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1
2,1,1,2,2,1,1,1,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,4,1,1,1,1
2,1,1,2,2,2,1,1,1,3,3,1,1,1,2,2,2,2,2,2,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,2,1,1,1,3,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,3
1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1
1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1
1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,3,1,1,1,2,1,1,1
2,1,1,2,1,3,1,1,1,2,1,3,1,2,3,2,1,2,1,1,1,4,1,1,3,1,1,1,1,2,3,2,1,4,1,1,1,1,1,2,3,3,2,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,3,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1,1
2,2,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,2,3,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,2,2,1,2,1,2,1,2,2
2,2,1,2,3,1,2,1,1,4,3,2,1,1,2,1,3,2,1,1,2,3,1,1,2,1,2,1,1,4,4,1,1,4,1,1,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,2,3,3,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,1,2,1,1,1
2,1,1,2,2,1,2,1,1,2,2,2,1,1,2,3,1,2,2,2,1,2,1,1,1,1,1,1,3,3,3,3,3,1,1,1,3,3,1,3,1,1,1,2,1,3,1,1,1,1,1,2,3,1,1,1,2,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,2,1,1,1
1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,1,1,2,2,2,1,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1,2,1,1,1
1,2,1,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1
1,1,1,2,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,3,2,1,1,1
1,2,1,3,1,2,2,3,1,2,1,1,1,2,1,1,1,1,2,2,2,1,1,1,2,1,1,2,1,2,2,1,1,1,3,2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1,2,2,1,2,2,2,1,1,2,2,1,2,2,2,2,1,1,1,1,2,2,2,2,1,2,1,1,2,3,2,1
3,1,1,3,2,2,1,1,1,3,2,1,1,2,2,3,1,2,2,3,1,2,1,1,3,1,1,1,1,2,1,2,1,3,2,1,2,1,1,3,3,2,3,1,1,1,3,2,1,1,1,1,2,1,1,2,2,1,1,2,1,1,2,1,1,1,2,1,1,2,1,3,1,1,1,1,2,1,1,1,1,1
1,2,1,1,1,3,1,1,1,1,1,3,1,1,1,3,1,1,3,2,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,3,3,1,1,2,1,1,1,1,1,1,2,3,1,1,1,1,2,1,1,2,1,1,3,1,2,1,1,1,2,1,2,2,1,2,1,1,1
2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,2,2,1,2,1,2,2,1,1,1,1,1,2,3,2,1,1,2,1,3,2,1,1,2,1,1,2,1,2,1,1,1,1,1,1,2,2,1,2,1,2,1,1,2,1,1,2,1,1,2,2,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1
1,2,1,2,2,1,1,1,1,1,1,3,1,2,2,2,1,3,3,2,1,3,1,1,1,1,1,1,3,3,3,3,1,4,2,1,2,2,2,3,2,2,2,2,2,2,1,1,1,1,2,3,1,1,1,1,1,1,1,2,1,2,2,3,3,1,2,2,1,1,1,1,1,2,2,1,2,1,3,1,1,1
2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,3,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,2,2,2
3,1,1,1,1,4,1,1,1,3,3,4,3,4,2,1,1,3,2,3,1,1,1,1,3,1,1,2,1,2,1,1,1,1,1,1,1,1,1,3,3,4,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,3,2,1,1,1,1,1,1,2,1,1,1,3,2,1,1
3,2,2,2,1,2,2,1,2,3,2,3,1,1,3,2,2,3,1,2,1,1,2,2,3,2,2,1,3,2,3,1,3,2,1,2,2,1,2,2,1,1,3,2,2,1,1,1,1,2,1,2,1,3,1,1,1,1,1,2,1,1,1,2,3,1,2,1,2,1,1,1,1,1,1,1,1,1,3,1,1,2
1,1,1,1,1,2,1,1,1,1,1,3,1,1,2,1,1,2,1,2,1,1,1,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1
2,2,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,3,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1
1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1
1,1,1,1,3,2,1,1,1,2,2,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2
3,1,1,3,1,1,1,1,1,2,2,1,1,1,2,3,3,2,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,2,1,2,1,2,2,3,2,1,2,2,1,3,2,3,1,2,1,2,2,1,2,2,3,1,1,3,1,1,1,1,2,3,2,2,1,1,1,1,3,1,3,1,2,1,2,1,1,2
1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,1,1,1,2,2,2,1,2,1,2,1,2,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1
1,1,1,2,1,1,2,1,1,2,2,1,1,2,2,2,1,1,2,2,2,1,1,2,1,2,1,1,3,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,3,1
3,1,1,3,2,3,2,1,1,3,2,1,1,2,2,3,2,3,3,3,2,1,4,1,3,1,1,2,3,2,1,1,2,1,1,1,1,1,1,3,2,1,2,2,2,2,3,1,1,1,1,2,2,2,3,2,3,1,1,2,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1
1,2,1,2,1,1,1,1,1,3,3,4,1,2,1,1,3,3,4,1,1,4,1,2,1,1,3,1,3,3,2,4,1,4,1,1,3,2,1,3,2,3,1,2,1,1,1,1,1,4,1,2,4,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1,2,1,3,1,1,1
2,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1
1,3,1,2,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1
2,2,1,2,1,2,2,1,1,1,1,2,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1
2,1,1,3,2,2,2,1,1,3,2,1,1,1,1,3,2,1,1,3,1,3,2,1,3,1,1,2,1,2,2,1,1,3,2,1,1,2,2,1,3,2,3,1,1,2,3,1,1,1,1,1,3,1,1,1,3,1,1,2,1,1,1,3,3,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1
1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,1,2,4,1,2,1,3,3,2,1,1,2,1,1,1,2,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,2,2,2,3,1,2,2,2,2,2,1,1,1,1,1,1,2,2,1,1,3,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,2
1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,2,1,1,2
1,1,1,1,3,1,1,2,1,2,1,2,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,3,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,1,2,1,1,1,3,1
3,1,1,2,2,2,1,2,1,3,3,2,1,1,2,2,2,2,3,3,1,3,2,3,2,1,1,2,3,3,2,1,2,1,2,1,2,2,1,3,1,1,2,2,1,2,2,1,1,1,1,3,1,1,1,1,3,1,1,3,1,3,1,1,1,2,1,2,1,1,1,1,1,2,1,2,1,1,2,1,1,1
2,2,1,3,2,1,1,1,1,3,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,3,1,2,1,2,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1
1,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,2,2,1
1,1,1,1,2,1,1,2,1,2,2,2,1,1,1,1,1,2,3,3,1,2,1,1,1,1,1,1,3,2,3,1,1,1,1,1,1,3,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,2,1,2,1,1,1
1,1,1,4,2,3,1,1,1,3,2,1,1,1,2,3,2,2,3,3,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,2,2,2,3,1,3,2,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,2,3,1,2,1,1,2,1,1,1,1,2,1,2,1,1,1,1,2
2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,2,2,1,2
1,3,1,2,1,1,2,2,2,2,1,3,1,1,3,3,1,2,2,1,1,1,1,1,1,1,1,1,3,2,3,1,1,2,1,1,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,2,1,1
1,3,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1
